leadid,revenue
2795913382,NULL
2795929556,1.3
2795957905,0
2795959849,64.52
2795966354,1.1266
2795975917,0
2795977791,1.5
2795979085,8
2795980348,0
2795984581,110
2796002289,NULL
2796012273,2.15
2796018798,40
2796037415,1.35
2796070184,NULL
2796070687,NULL
2796071153,NULL
2796071242,NULL
2796073158,NULL
2796078212,1.05
2796080753,1.15
2796088973,15
2796092983,NULL
2796097627,1.45
2796102403,1
2796103625,1.5
2796103915,21
2796112203,36
2796114773,0
2796142778,2.7
2796148344,NULL
2796148835,NULL
2796159328,1
2796159718,40
2796164478,NULL
2796164758,NULL
2796176809,110
2796178534,1
2796181654,NULL
2796190476,NULL
2796193827,2.15
2796202436,NULL
2796203051,NULL
2796216839,NULL
2796217641,15
2796229985,0
2796249007,NULL
2796249393,21
2796255934,NULL
2796257171,NULL
2796263729,NULL
2796264175,0
2796268136,3
2796268938,NULL
2796284350,NULL
2796285720,NULL
2796297447,33.55
2796301743,40
2796302195,NULL
2796302678,5
2796314394,7.43
2796339612,15
2796340246,0
2796340699,9.31
2796351090,36
2796353306,NULL
2796353415,NULL
2796356544,NULL
2796356639,5
2796358231,NULL
2796359404,NULL
2796359899,31
2796369553,NULL
2796379053,11
2796381570,3
2796396231,NULL
2796396577,12.43
2796396829,37
2796398268,6.08
2796476469,1.25
2796651241,6.08
2796720695,1.3
2796723988,1.5
2796727942,40
2796729121,0
2796733099,40
2796734746,0
2796920272,40
2796921741,1.3
2796925137,1.15
2796955581,NULL
2796960422,1.15
2796972155,1.15
2796975061,0
2797077874,40
2797090320,1
2797310259,0
2797325958,15
2797326339,2.15
2797341882,2
2797342156,0
2797346317,2.15
2797348592,NULL
2797351349,8
2797354025,3
2797364664,1.15
2797384392,NULL
2797386952,NULL
2797389189,NULL
2797389362,40
2797400137,1.15
2797401398,1.5
2797401709,1
2797417943,1.8
2797422463,NULL
2797422613,2.4
2797422732,NULL
2797424328,8
2797434663,NULL
2797442708,NULL
2797443510,40
2797446558,27
2797447876,8
2797451664,37.82
2797458061,5
2797458831,1
2797460077,NULL
2797460525,0
2797462019,NULL
2797464525,1
2797465019,NULL
2797466627,12
2797467653,NULL
2797468825,1
2797469190,8
2797470175,NULL
2797474533,NULL
2797474632,NULL
2797488915,NULL
2797491574,NULL
2797492677,2.15
2797494357,155
2797494464,1.15
2797494464,2.01
2797494484,0
2797496496,NULL
2797496510,51
2797500690,40
2797505525,26
2797511567,40
2797522560,40
2797538297,20.26
2797538362,40
2797538907,0
2797544150,40
2797546048,1.5
2797549907,NULL
2797550623,15
2797559506,11
2797560838,31
2797561409,2.05
2797563227,22
2797564270,0
2797567096,0
2797567913,2
2797571677,2.7
2797574798,1.3
2797574978,71.32
2797577957,NULL
2797578254,NULL
2797581498,2.01
2797591373,1.15
2797593375,0
2797602289,6.75
2797623191,NULL
2797625235,1
2797628150,38.15
2797633104,NULL
2797633539,8
2797638204,1.5
2797642914,2.05
2797645197,1
2797651189,3
2797660707,1.5
2797672478,71.5
2797674067,0
2797676827,0
2797682659,1.8
2797687790,7.25
2797688318,57.96
2797691154,NULL
2797696492,NULL
2797704900,1.15
2797710413,1.15
2797711048,40
2797711199,NULL
2797718009,2.01
2797723208,0.6
2797724911,NULL
2797726384,0
2797728403,NULL
2797742729,27
2797742935,2.5
2797746865,3
2797751480,NULL
2797752421,0
2797754454,NULL
2797754456,NULL
2797756780,NULL
2797765550,2.15
2797768619,1.7
2797780899,3.15
2797788207,15
2797792375,2.3
2797806289,1.65
2797806969,15
2797807612,35.87
2797808580,NULL
2797809303,3.15
2797814410,NULL
2797815124,NULL
2797815233,NULL
2797817686,19.31
2797835828,72.45
2797839437,NULL
2797839483,NULL
2797840557,NULL
2797841020,NULL
2797844614,NULL
2797846957,NULL
2797851580,8
2797855808,NULL
2797860740,73.14
2797866870,NULL
2797869709,12
2797870159,40
2797870596,1.05
2797871398,NULL
2797874852,7.43
2797894723,NULL
2797895351,5
2797897153,26
2797907919,0
2797913150,0
2797915860,40
2797920253,21
2797924353,45
2797931448,27
2797931626,3
2797932252,40
2797933470,8
2797935570,3.05
2797944631,40
2797948039,6.0387
2797948903,3.85
2797951038,1.1266
2797952105,0
2797955268,1.15
2797961688,0
2797966947,0
2797967561,43.47
2797968025,1.5
2797968387,101.93
2797968610,15
2797971586,NULL
2797972468,NULL
2797972968,15
2797973418,14.58
2797973538,NULL
2797976894,1.2
2797987970,13.1
2797988364,0
2797998351,20.28
2797998602,NULL
2798000239,15
2798006449,0
2798007614,40
2798013341,8
2798017824,NULL
2798018897,NULL
2798023441,1
2798023986,21.48
2798051167,43.47
2798055110,5.34
2798055837,155
2798059067,2.8
2798059773,17.82
2798059950,3.15
2798063570,NULL
2798064096,3
2798064854,NULL
2798068000,0
2798069480,1.15
2798077037,12
2798077891,1.15
2798079924,NULL
2798080561,1.15
2798080630,40
2798082833,NULL
2798083557,NULL
2798086607,1.05
2798096427,NULL
2798098191,3
2798112115,NULL
2798114257,3
2798115136,NULL
2798117962,2.8
2798121153,NULL
2798121238,12.26
2798121456,1.3
2798141672,0
2798142605,0
2798143453,155
2798146933,NULL
2798147513,NULL
2798148006,0
2798151595,NULL
2798151612,NULL
2798151792,NULL
2798156018,6.75
2798159667,0
2798161229,21.58
2798169483,31
2798169637,1.5
2798172085,NULL
2798178936,0
2798195768,0.8
2798209698,27
2798234537,15
2798237006,NULL
2798240498,2.2
2798254841,NULL
2798256325,NULL
2798256924,NULL
2798258315,NULL
2798259629,40
2798265352,NULL
2798273305,1
2798290591,1.28
2798291934,2.15
2798301045,12.6
2798315149,50
2798318855,3.05
2798334648,NULL
2798338522,50.72
2798343120,NULL
2798343690,NULL
2798356192,101.93
2798369770,8.57
2798373272,NULL
2798377887,NULL
2798378359,NULL
2798385246,26.55
2798385276,55.2
2798388889,2.15
2798398795,10
2798408558,7.09
2798409289,NULL
2798410101,NULL
2798410412,30.94
2798413647,1.8477
2798424370,0
2798424432,1
2798426129,NULL
2798426869,10
2798435313,6.75
2798436169,38.15
2798453250,NULL
2798456563,0
2798460441,NULL
2798462623,NULL
2798479324,0
2798489901,1.8
2798491205,1.05
2798501062,40
2798506437,26
2798507908,1.15
2798510877,29.08
2798511725,NULL
2798514085,5.25
2798518007,NULL
2798518727,NULL
2798519777,0
2798528950,1
2798534642,40
2798536301,1.2
2798562970,1.5
2798569699,1
2798571736,150.05
2798572648,110
2798573766,NULL
2798580134,20.25
2798591060,0
2798591060,3
2798604189,1.05
2798607438,1
2798623533,0
2798623912,110
2798639915,0.4
2798678256,17.0625
2798678607,NULL
2798678720,2.4
2798693616,1.15
2798702770,1.8
2798702872,10
2798709325,3.15
2798722301,NULL
2798725584,NULL
2798748826,0
2798751095,0
2798751891,93.89
2798766290,1.15
2798768042,2.8
2798867142,NULL
2798867594,NULL
2798895541,9
2798895772,8.57
2798898174,1
2798922254,1
2798925006,3
2798925460,3
2798927566,NULL
2798935104,1.15
2798955311,72.45
2798955788,2.3
2798981481,1
2798984415,NULL
2798985105,NULL
2799031489,61.58
2799034176,101
2799038756,NULL
2799044640,2.8
2799047993,5.25
2799053204,32
2799054300,40
2799057552,64.52
2799071230,NULL
2799071505,1.5
2799081748,15
2799088276,NULL
2799091107,8
2799091964,NULL
2799093629,NULL
2799099374,0
2799108445,1.8
2799110668,0.8
2799115279,6.82
2799116221,10
2799117782,NULL
2799128579,2
2799136043,0
2799136377,1.8
2799154014,1.3
2799156652,NULL
2799157926,5
2799160609,1.15
2799169666,21.14
2799178118,2.5
2799178118,5
2799182311,8
2799182590,15
2799188714,40
2799189021,NULL
2799194726,15
2799195516,1.15
2799202492,40
2799204280,2.15
2799219358,1
2799219765,10
2799222888,NULL
2799223343,NULL
2799225004,NULL
2799225525,NULL
2799228737,2.15
2799228873,1.05
2799229831,50
2799230166,27
2799233812,NULL
2799235911,21.76
2799237101,NULL
2799240415,0
2799241728,0
2799250983,85
2799253311,0
2799257788,15
2799274181,135.3
2799274400,NULL
2799277751,NULL
2799280167,20.28
2799281554,NULL
2799282254,NULL
2799285607,15
2799288173,5
2799292191,NULL
2799297741,40
2799299982,NULL
2799300892,NULL
2799302968,NULL
2799305413,12.88
2799321028,15
2799321423,67.22
2799328989,NULL
2799344245,12.64
2799352884,NULL
2799363270,0
2799370040,NULL
2799373199,1
2799381529,15
2799382780,NULL
2799386370,0
2799389070,NULL
2799392797,1.15
2799393003,1.15
2799397955,6.75
2799399465,9.94
2799401380,1.3
2799405794,27.27
2799408429,88
2799410759,NULL
2799411360,2.5
2799424240,0.8
2799427567,3.15
2799432503,6
2799433566,NULL
2799436176,40
2799438792,40
2799448834,152.84
2799452196,6.75
2799452364,40.27
2799455173,68.25
2799462387,2.5
2799463903,NULL
2799463939,82.5
2799465876,NULL
2799466533,67.22
2799466557,3
2799467717,155
2799469389,0
2799482299,NULL
2799488010,2.8
2799492939,41
2799493964,NULL
2799495088,NULL
2799495404,1.3
2799496176,102.58
2799497018,NULL
2799501806,1.2
2799513041,NULL
2799513343,1.0816
2799522387,0
2799527137,40
2799530664,NULL
2799532065,155
2799534378,31
2799536054,NULL
2799536687,NULL
2799538571,NULL
2799538725,NULL
2799552391,21.6
2799552811,67.5
2799556642,2.05
2799557032,2.15
2799558286,1.8
2799559029,40
2799567251,155
2799568479,26
2799575580,19.31
2799582146,55.2
2799584256,13.1
2799587727,151
2799588622,NULL
2799593018,15
2799598253,45.54
2799600047,NULL
2799602425,NULL
2799603500,NULL
2799609027,44.69
2799609224,1.15
2799609635,28.91
2799610038,NULL
2799611726,50
2799621970,NULL
2799622864,0
2799624553,NULL
2799624912,0
2799624972,NULL
2799626106,NULL
2799630307,1
2799633945,NULL
2799636402,40
2799638855,0
2799638855,3
2799651345,41
2799652548,31
2799656573,21
2799656623,NULL
2799656703,NULL
2799670771,5.5
2799685522,NULL
2799686186,27
